url,locale,page_type,indexable_expected,canonical_expected,hreflang_cluster,source_file
/ru/finance/down-payment/,ru,calculator,true,/ru/finance/down-payment/,calculator:down-payment,src/pages/[locale]/[category]/[calculator].astro
/ru/computers/download-time/,ru,calculator,true,/ru/computers/download-time/,calculator:download-time,src/pages/[locale]/[category]/[calculator].astro
/ru/household/protechka-krana/,ru,calculator,true,/ru/household/protechka-krana/,calculator:drip-water-leak,src/pages/[locale]/[category]/[calculator].astro
/ru/building/gipsokarton/,ru,calculator,true,/ru/building/gipsokarton/,calculator:drywall,src/pages/[locale]/[category]/[calculator].astro
/ru/finance/dti/,ru,calculator,true,/ru/finance/dti/,calculator:dti,src/pages/[locale]/[category]/[calculator].astro
/ru/finance/early-repayment/,ru,calculator,true,/ru/finance/early-repayment/,calculator:early-repayment,src/pages/[locale]/[category]/[calculator].astro
/ru/household/electricity-usage/,ru,calculator,true,/ru/household/electricity-usage/,calculator:electricity-usage,src/pages/[locale]/[category]/[calculator].astro
/ru/business/email-metrics/,ru,calculator,true,/ru/business/email-metrics/,calculator:email-metrics,src/pages/[locale]/[category]/[calculator].astro
/ru/finance/emergency-fund/,ru,calculator,true,/ru/finance/emergency-fund/,calculator:emergency-fund,src/pages/[locale]/[category]/[calculator].astro
/ru/business/employee-cost/,ru,calculator,true,/ru/business/employee-cost/,calculator:employee-cost,src/pages/[locale]/[category]/[calculator].astro
/ru/business/engagement-rate/,ru,calculator,true,/ru/business/engagement-rate/,calculator:engagement-rate,src/pages/[locale]/[category]/[calculator].astro
/ru/automotive/rabochiy-obyom-dvigatelya/,ru,calculator,true,/ru/automotive/rabochiy-obyom-dvigatelya/,calculator:engine-displacement,src/pages/[locale]/[category]/[calculator].astro
/ru/building/obyom-epoksidnoy-smoly/,ru,calculator,true,/ru/building/obyom-epoksidnoy-smoly/,calculator:epoxy-volume,src/pages/[locale]/[category]/[calculator].astro
/ru/physics/vtoraya-kosmicheskaya-skorost/,ru,calculator,true,/ru/physics/vtoraya-kosmicheskaya-skorost/,calculator:escape-velocity,src/pages/[locale]/[category]/[calculator].astro
/ru/math/factorial/,ru,calculator,true,/ru/math/factorial/,calculator:factorial,src/pages/[locale]/[category]/[calculator].astro
/ru/business/fee-chain/,ru,calculator,true,/ru/business/fee-chain/,calculator:fee-chain,src/pages/[locale]/[category]/[calculator].astro
/ru/building/zabor/,ru,calculator,true,/ru/building/zabor/,calculator:fence,src/pages/[locale]/[category]/[calculator].astro
/ru/math/fibonacci/,ru,calculator,true,/ru/math/fibonacci/,calculator:fibonacci,src/pages/[locale]/[category]/[calculator].astro
/ru/computers/files-on-disk/,ru,calculator,true,/ru/computers/files-on-disk/,calculator:files-on-disk,src/pages/[locale]/[category]/[calculator].astro
/ru/education/final-grade/,ru,calculator,true,/ru/education/final-grade/,calculator:final-grade,src/pages/[locale]/[category]/[calculator].astro
/ru/computers/fps-frametime/,ru,calculator,true,/ru/computers/fps-frametime/,calculator:fps-frametime,src/pages/[locale]/[category]/[calculator].astro
/ru/math/fractions/,ru,calculator,true,/ru/math/fractions/,calculator:fraction-arith,src/pages/[locale]/[category]/[calculator].astro
/ru/physics/svobodnoe-padenie/,ru,calculator,true,/ru/physics/svobodnoe-padenie/,calculator:free-fall,src/pages/[locale]/[category]/[calculator].astro
/ru/finance/freelance-rate/,ru,calculator,true,/ru/finance/freelance-rate/,calculator:freelance-rate,src/pages/[locale]/[category]/[calculator].astro
/ru/automotive/fuel-consumption/,ru,calculator,true,/ru/automotive/fuel-consumption/,calculator:fuel-consumption,src/pages/[locale]/[category]/[calculator].astro
